name,psgcCode
Acli,0305413001
Acmac-Mariano Badelles Sr.,1030900038
Acmonan,1206317001
Acnam,0102814001
Acocolao,0306910002
Acop,0105531001
Acosta Pob.,0102805022
Actin,1804605001
Acuit,0603007001
Acuña,0601917002
Ada,0803748001
Adams,0102801001
Adante,0907209001
Adaoag,0201506001
Adaoay,1401107001
Adaon,1908804001
Adapun-Ali,1003502002
Adcadarao,0603001001
Addalam,0203115002
Addition Hills,1380500001
Addition Hills,1381400001
Adecor,1102317001
Adela,1705108001
Adela,0702238001
Adela Heights,0806007094
Adgao,0603046001
Adia,0401001001
Adia,0403427001
Adia Bitaog,0405619001
Adiangao,0501733001
Adjid,0906601001
Adlaon,0730600001
Adlas,0402118001
Adlawan,0601914001
Adlawan,0701247001
Adlay,1606807001
Adnin,1907009014
Adorable,1004207001
Adovis,0506205001
Adrialuna,1705208001
Adtuyon,1001316001
Aduas,0306910003
Aduas Centro,0304903002
Aduas Norte,0304903090
Aduas Sur,0304903091
Aduyongan,1402706001
Adya,0401014001
Afga,0600417001
Afga,1600314001
Aflek,1206316024
Afunan Cabayu,0201510002
Afus,1206316017
Afusing Bato,0201502002
Afusing Daga,0201502003
Ag-agrao,0102926001
Ag-aguman,0102933001
Aga,1408106001
Aga,0203118001
Aga,0401019001
Agaas,0501711001
Agaga,0102806002
Agagan,1903634001
Agahay,0701232002
Agaman,0201506002
Agaman Norte,0201506047
Agaman Sur,0201506048
Agambulong,0601906001
Agan-an,1804620001
Aganan,0601902001
Aganan,0603036001
Agani,0201502004
Agao Pob.,1630400002
Agao-ao,0501730001
Agape,0701228001
Agape,0701229001
Agapito del Rosario,0330100001
"Agapito Yap, Sr.",1004213016
Agas,0803713002
Agat,0105541001
Agawa,1404403001
Agay-ay,0806414001
Agay-ayan,1004308001
Agay-Ayan,0501737001
Agba-o,0603010001
Agbabadiang,0601910001
Agbago,0600406001
Agbalanga,0702233001
Agbalo,0601909001
Agbalogo,0600411001
Agbaluto,1705910001
Agban,0502002002
Agbanawan,0600403001
Agbanban,0601909002
Agbanga,0702206001
Agbanga,0803734001
Agbannawag,1403213001
Agbannawag,0304923002
Agbanog,0601912001
Agbatuan,0601904001
Agbatuan,0603003001
Agbobolo,0603001002
Agboy,1804506001
Agboy Norte,0603028001
Agboy Sur,0603028002
Agbudia,1705910003
Agbun-od,0601906002
Agcabugao,0601901001
Agcagay,0601906003
Agcalaga,0603013002
Agcano,0304911001
Agcarope,0603023002
Agcawilan,0600408001
Agcococ,0601917003
Agcuyawan Calsada,0603007002
Agcuyawan Pulo,0603007003
Agdahon,0601901002
Agdahon,0603035001
Agdalipe,0601912002
Agdaliran,0603038001
Agdangan Pob.,0501701001
Agdao,0105524002
Agdao,0105532002
Agdao,1130700002
Agdayao,0603035002
Agdeppa,0103306001
Agdugayan,0600406002
Agdum,0603030001
Aggasi,0102815001
Aggasian,0203114002
Aggay,0102903001
Aggub,0203106001
Aggub,0205013001
Aggugaddan,0201519001
Agguirit,0201504002
Aggunetan,0201517001
Agkawayan,1705103001
Agkilo,0601910002
Aglahug,1804612001
Aglalana,0601904002
Aglalana,0603035003
Aglanot,0601904003
Aglao,0307111001
Aglayan,1001312001
Agliam,0203130001
Aglibacao,0601906004
Aglibacao,0603013003
Aglimocon,0601907001
Aglinab,0601917004
Aglipay,0102805001
Aglipay,0102819001
Aglipay,0304923011
Aglobong,0603023003
Agloloway,0601906005
Aglonok,0603013004
Aglosong,0603015002
Agloway,0601910003
Aglucay,0600411002
Aglupacan,0601917005
Agmailig,0600409001
Agmalobo,0601905001
Agmanaphao,0603031002
Agmanic,1705915001
Agnaga,1705910004
Agnaga,0601901003
Agnaga,0603015003
Agnas,0500517001
Agnay,1705910005
Agnaya,0301417001
Agnipa,1705910006
Agno,0105543001
Agnonoc,1705916001
Ago,0603046002
Agoho,0405607001
Agoho,0504109001
Agoho,1001804001
Agojo,1705907001
Agojo,0502008001
Agojo,0601909003
Agol,0500513001
Agong-ong,1600201002
Agos,1705206002
Agos,0500514001
Agos,0501703001
Agos-agos,0405620002
Agosais,0501717001
Agot,1704001001
Agpalali,0601917006
Agpanabat,1705910002
Agpangi,1804505001
Agpangi,0807808001
Agpay,0103308001
Agpay,0500504001
Agpipili,0603027001
Agpo-Camagong-Tabog,0501717002
Agpudlos,1705912001
Agricula,0600614001
Agriculture,1204709002
AGROCEL Pob.,0603029004
Agrupacion,0501730002
Agrupacion,0806016001
Agsabu,1600303031
Agsalanan,0603016002
Agsalin,1705206001
Agsam,0802617001
Agsam,1606810001
Agsaman,0802611001
Agsanayan,0607901001
Agsao,1705908001
Agsilab,0601915001
Agsing,0603002002
Agsirab,0601904006
Agsirab,0603025001
Agsoso,0701230001
Agsungot,0730600002
Agsuwao,0702216001
Agta,0603028003
Agtabo,0603035004
Agtambi,0601902002
Agtambo,0603035005
Agtangao,1400101001
Agtanguay,0601902003
Agtatacay,0603016003
Agtatacay Norte,0601915002
Agtatacay Sur,0601915003
Agtipal,0103303001
Agtiwa,1705913001
Agtongo,1705910007
Agtugop,0702206002
Agtuman,0603025002
Aguada,0504105002
Aguada,0504117001
Aguada,0804816001
Aguada,0990101002
Aguada,1004210001
Aguada Norte,0506211001
Aguada Sur,0506211002
Aguadahan,0804808002
Aguadahan,0804819002
Aguado,0402122011
Aguas,1705108002
Aguet,1400110001
Aguho,1381701001
Aguho,0702221001
Aguiauan,0603030002
Aguid,1404409001
Aguiguican,0201513005
Aguila,0401022001
Aguila,0600615002
Aguilar,0607904001
Aguin,0804804001
Aguinaldo,0203109001
Aguinaldo,0203120001
Aguinaldo,0304928022
Aguinaldo,0506203003
Aguinaldo,0631000003
Aguinaldo,0802601001
Aguinaldo,0802607028
Aguinaldo,0804805001
Aguinaldo,0806408001
Aguinaldo,0908309001
Aguinaldo,1108202001
Aguinaldo,1600303032
Aguing,0102930001
Aguingay,0603023004
Aguingayan,0806014001
Aguining,0701235001
Aguioas,0103311001
Aguipo,0701231003
Aguirre,0603044001
Aguisan,1804510001
Aguit-It,0501612001
Aguit-itan,0806003074
Aguitap,0102822001
Aguiting,0803726001
Agumaymayan,1704001002
Agunod,1004212001
Agupalo Este,0304916002
Agupalo Weste,0304916003
Agus,0731100001
Agus-us,0402110001
Agusan,1030500001
Agusan Canyon,1001314001
Agusan Pequeño,1630400003
Agusi,0201510003
Agusipan,0603004001
Agusipan,0603043001
Aguso,0306916001
Agustin Navarra,0601905002
Agutay,1705908002
Agutay,0807807001
Agutayan,1705304001
Agutayan,0603017001
Agutayan,0603043002
Agutayan,0803719001
Agutayan,0908302021
Agutayon,1804612002
Ahan,1908812001
Ahin,1402710001
Airport,0631000004
Airport,0803738092
Airport Village,0804805002
Ajat,0201515001
Ajong,1804620002
Ajos,0405610001
Ajos,0405628001
Aklan Village,0205703031
Akle,0301419001
Akol,1206509001
Al-alinao Norte,0103311002
Al-alinao Sur,0103311003
Al-aludig,0102927001
Ala,1206503001
Ala-uli,0300811001
Alab Oriente,1404404002
Alab Proper,1404404001
Alabang,1380800001
Alabangpuro,0500513002
Alabiao,0201528002
Alabidhan,0603010002
Alabug,0201528003
Alac,0105537001
Alacaak,1705111001
Alacalian,1705320025
Alacan,0105524003
Alacan,0105533031
Alacaygan,0603006003
Alacaygan,1804508001
Alad,1705910008
Alae,1001314002
Alag,1705201001
Alagao,0301419002
Alagao,0401006001
Alagatan,1004308002
Alaguia,0201516002
Alaguisoc,0607902002
Alahag,0803723001
Alalasan Lapuz,0631000005
Alalay Chica,0304916004
Alalay Grande,0304916005
Alalum,0401026001
Alamada,1908710001
Alambijud,0702205001
Alambique,1606711001
Alambre,1130700003
Alameda,0603021001
Alaminos,0600410001
Alang Salacsac,0205010023
Alang-alang,0702248001
Alang-alang,0731300001
Alang-alang,0802604001
Alang-alang,0802607001
Alang-alang,0802617045
Alang-alang,0802618023
Alang-alang,0804809001
Alang-alang,0907302002
Alang-alang,0907328001
Alang-alang,1606724001
Alangan,0102912001
Alangan,0300806001
Alangan,0600616002
Alangilan,0401004001
Alangilan,0401005001
Alangilan,1804618001
Alangilan,1830200001
Alangilan,0803701001
Alangilan,1001805001
Alangilanan,1804615001
Alangtin,1400126001
Alanib,1001310001
Alannay,0201517002
Alaoa,1400125002
Alapan I-A,0402109001
Alapan I-B,0402109026
Alapan I-C,0402109027
Alapan II-A,0402109002
Alapan II-B,0402109028
Alapang,1401110001
Alapasco,0603009001
Alas,0504110001
Alas-as,0401025018
Alas-as,0600410002
Alas-asin,0300807001
Alasaging,0601907002
Alasas,0305416001
Alaska,0103302001
Alat,0906602001
Alauli,0305412001
Alawihao,0501603001
Alawijao,0702207001
Alay-Nangbabaan,0102803001
Alayao,0501602001
Alayunan,0601907003
Alba,0201506003
Alba,1606818001
Albagan,1206314001
Albalate,0806005001
Albano,0102809001
Albasan,0504107001
Albasan,0600416001
Albiga,1804619001
Albino Taruc,1606723014
Albor,1608504001
Alcadesma,1705202001
Alcala,0103310001
Alcala,0307707001
Alcala,0500503001
Alcantara,0603027002
Alcate,1705215001
Alcazar,0806020001
Alcoba,1705314001
Aldavoc,0405646001
Aldeguer,0603044002
Aldezar,0501734001
Aldiano Olaes,0402123001
Alegre,0600615003
Alegre,0600617001
Alegre,0603034003
Alegre,0803718001
Alegre,1102401001
Alegria,1705906001
Alegria,0504116001
Alegria,0506202002
Alegria,0600405001
Alegria,0600605001
Alegria,0600614002
Alegria,0603016004
Alegria,0607905001
Alegria,1804520002
Alegria,0701212001
Alegria,0701213001
Alegria,0701229002
Alegria,0702220001
Alegria,0702252001
Alegria,0803707001
Alegria,0803725001
Alegria,0803738001
Alegria,0804818001
Alegria,0806017001
Alegria,0806023001
Alegria,0807804001
Alegria,0907224001
Alegria,0907302003
Alegria,0907322001
Alegria,0908301001
Alegria,1003501001
Alegria,1004208001
Alegria,1102505002
Alegria,1204713001
Alegria,1208001001
Alegria,1600308001
Alegria,1606721002
Alegria,1606724002
Alegria,1606814001
Alegria Norte,0701228002
Alegria Sur,0701228003
Alejal,1102303001
Alejandra Navarro,1130700056
Alejandro Village,0804801001
Alejawan,0701221001
Alejawan,0701225001
Alejo Malasig,0102823030
Alejos,0803707002
Alem,1408106002
Alemania,0304918001
Alemania,0701220002
Alfaco,0702234001
Alfonso,0102910001
Alfonso,0306905001
Alfonso Angliongto Sr.,1130700197
Alfonso Tabora,1430300136
Alfonso XII,0600409002
Alfonso XIII,1705317001
Alga,1001801001
Algeciras,1705302002
Ali Alsree,0908312020
Ali-is,1804606001
Aliaga,0105524004
Aliaga,0205004003
Alianza,0501732001
Alianza,1804502002
Alibaba,0806003003
Alibadabad,0203131001
Alibago,0105538001
Alibago,0201512001
Alibagon,1705903001
Alibagon,0600411003
Alibagu,0203114003
Alibangsay,0103304001
Alibayog,0603044003
Alibayon,1204706001
Alibeng,0105541002
Alibihaban,0405640001
Alibog,1705105001
Alibuag,0502008002
Alibunan,0603013006
Alibungbungan,0403417002
Alicante,1804508002
Alicaocao,0203108001
Alicia,1381300001
Alicia,0205701018
Alicia,0907319001
Alicomohan,1004323001
Aliguay,0701232003
Aliguay,0907201001
Aliji,0405646002
Alijis,1804530001
Alijis,1830200002
Alilao,0105519001
Alilem Daya,0102901001
Alilinu,0201510004
Aliliw,0405623002
Alim,1804512001
Alimango,1804509001
Alimanguan,1705319001
Alimannao,0201519002
Alimbo Baybay,0600414001
Alimbuyog,0501721001
Alimit,1402706002
Alimit,0205009002
Alimoan,0201511001
Alimodias,0603030003
Alimono,0603035006
Alimsog,0500516001
Alin,0506207001
Alinaay,0102905001
Alinam,0203108002
Alinawan,0502007001
Alinaya,1400118001
Alincaoeg,0102925001
Alindahaw,0907330001
Alingaro,0402108001
Alingarog,0802609001
Alinggan,0105511001
Alinsolong,0603009002
Alinun,1903625001
Alinunu,0201501001
Alion,0300807002
Alip,1908806001
Alip Lalabuan,1903618003
Alipang,0103313001
Alipangpang,0105530001
Alipao,1606701002
Alipaoy,1705107001
Alipasiawan,0601904007
Alipata,0603014002
Alipit,0403415001
Alipit,0403426001
Alipuaton,1004322001
Aliputos,0600416002
Alitao,0405647001
Alitap,0405627002
Alitas,0405620003
Alitaya,0105526001
Alituntung,0201504003
Aliwagwag,1102505003
Aliwanay,0702208002
Aliwekwek,0105522001
Alkikan,1208007001
Allab,1204718001
Allabon,0105501001
Allaguia,1403209002
Allang,0500508002
Allangigan,1408102001
Allangigan,0103316001
Allangigan,0203102001
Allangigan Primero,0102906001
Allangigan Segundo,0102906002
Allasitan,0201518002
Alleomar,0501719001
Allig,1408103001
Allinguigan 1st,0203114004
Allinguigan 2nd,0203114005
Allinguigan 3rd,0203114006
Alloy,0205009029
Alma Villa,1705206029
Almacen,0300805002
Almacen,0405649001
Almaguer North,0205004005
Almaguer South,0205004006
Almanza Dos,1380200010
Almanza Uno,1380200001
Almaria,0701203001
Almeida,0103305028
Almeñana,0603027003
Almendras,1102411001
Almendras-Cogon,0506216002
Almero,0504109002
Almiñe,0504119001
Almojuela,0502010001
Alnay,0500514002
Alno,1401110002
Alo,0702235001
Alo-o,0105544002
Alobo,1704005001
Alobo,0500503002
Alog,0802619002
Alog,1903612001
Alog,1903628001
Alogoog,0102803002
Aloja,0701207001
Alojipan,0600606001
Aloleng,0105501002
Alomanay,0203121015
Alomon,0500514003
Alon,0600618022
Aloneros,0405618002
Alonganan,1908807001
Alonganan,1908808001
Alongong,0500507001
Aloon,1003516001
Alos,0105503001
Alowin,1003517001
Alsam Ibaba,0405647019
Alsam Ilaya,0405647025
Alsem,0102823003
Alta Vista,0803738108
Alta Vista,1102401002
Altavista,0504118001
Altavista,0702238002
Altavista,0803708001
Altavista,0803734002
Alteza,0501734002
Altura Bata,0401031001
Altura Matanda,0401031002
Altura-South,0401031003
Alu Bunah,0906608001
Alu Bus-Bus,0906617001
Alu Layag-Layag,0906609024
Alu Pangkoh,0906609002
Alu-Duyong,0906617002
Alu-Kabingaan,0906614013
Alua,0304925001
Alubijid,1600201003
Alucao,0201525001
Aludaid,0103316002
Aludas,1001302001
Alugan,0802621001
Alugmawa,0603025003
Alula,0304931002
Aluling,0102908001
Alulod,0402110002
Alumar,0701226001
Alumbrado,0403417003
Alumpang Paino Mimbalay,1903618004
Aluna,1004310001
Alunan,0203122002
Alunogan,1404405001
Alupay,0401021001
Alupay,0405639001
Alupay,0405647002
Alupaye,0405630001
Alupidian,0603045001
Alusiis,0307112001
Aluyon,0405606001
Alvañiz,0600612001
Alvar,1102504001
Alvenda,0907208001
Alvindia Segundo,0306916003
Alwa,0307108001
Alzate,0103306002
Amabel,1204706048
Amacalan,0105524005
Amacalan,0306906002
Amado,1408106022
Amag,1606802001
Amaga,0405632001
Amaga,0601916002
Amaga,0806404001
Amaga,0806406001
Amaga,1606801001
Amagbagan,0105530002
Amagbagan,0105541003
Amagna,0307110001
Amagos,0803707003
Amagusan,0806401001
Amahit,0803706002
Amalbalan,0105519002
Amallapay,0103320001
Amaloy,1900711001
Amamaros,0603037002
Amambucale,0806010001
Amampacang,0806003004
Amamperez,0105547001
Amancion,0702216002
Amancoro,0105513001
Amancosiling Norte,0105511003
Amancosiling Sur,0105511004
Amandangay,0803746001
Amandayehan,0806002001
Amandiego,0105503002
Amangbangan,0105503003
Amanluran,0803748002
Amanoaoac,0105528001
Amanperez,0105511002
Amansabina,0105526002
Amantacop,0802604002
Amantillo,0806010015
Amar,0600617002
Amarao,0102924001
Amaronan,0105544003
Amas,1705306001
Amas,1204704001
Amatong,1705909002
Amatugan,0702252002
Amaya I,0402120001
Amaya II,0402120028
Amaya III,0402120029
Amaya IV,0402120030
Amaya V,0402120031
Amaya VI,0402120032
Amaya VII,0402120033
Amayco,1804520003
Amayong,0603038002
Amazion,1204704002
Ambabaay,0105508001
Ambabag,1402703001
Ambacan,0803708002
Ambacon,0806403001
Ambacon,1600207001
Ambadao,1908807002
Ambago,1630400004
Ambaguio,1404403002
Ambalangan-Dalin,0105533001
Ambalatungan,0203135002
Ambalayat,0102933002
Ambalgan,1206318001
Ambalingit,0306908001
Ambalite,0103312001
Ambangonan,0103312002
Ambangonan,0103313002
Ambao,0806404002
Ambaracao Norte,0103311004
Ambaracao Sur,0103311005
Ambarihon,0603046003
Ambasa,1402705002
Ambasador Alzate Village,0304918002
Ambasing,1404409003
Ambassador,1401114001
Ambatali,0203124001
Ambato Legleg,1403215001
Ambayat I,0105511005
Ambayat II,0105511006
Ambil,1705103002
Ambilay,0601910004
Ambiong,1401110003
Ambiong,1430300126
Ambitacay,0103301001
Ambitacay,0103317001
Ambolodto,1908705001
Ambolong,0504101001
Ambolong,0600404001
Ambolong,1903617001
Ambonao,0105517001
Ambongdolan,1401114002
Amboyu-an,0603040001
Ambuan,0701213002
Ambucao,0102927002
Ambuclao,1401104001
Ambuetel,0105517002
Ambugat,0102904001
Ambulogan,0102914002
Ambulon,0907341014
Ambulong,0401031004
Ambulong,1705110001
Ambulong,1705906002
Ambulong,1705908003
Ambulong,0603028004
Ambulong Sapal,1907011001
Amduntog,1402711001
Amdus,1804602001
Ameligan,0601912003
Amelong Labeng,0205010002
Amerang,0603012002
Amerang,0603029005
Amgaleyguey,1401105002
Amganad,1402701001
Amguhan,0803708003
Amguid,0102906003
Amihan,1381300002
Amilongan,0102901002
Amin,1804514001
Amio,1804618002
Amiroy,0603031003
Amistad,0105543002
Amistad,0203101001
Amito Marantao,1903617069
Amlang,0103313003
Amlao,1403213002
Amlimay,1401105003
Amlongan,0501705005
Ammacian,1403209003
Ammoweg,0205001001
Ammubuan,0201507001
Ammugauan,0203136001
Amobocan,0203108003
Amoguis,0500514004
Amoguis,0501717003
Amoingon,1704001003
Amolongin,0405620004
Amomokpok,0501730003
Amomonting,0506206001
Amonoy,0403416001
Amontay,0405625001
Amontay,0405634001
Amontay,1804503001
Amontay,1600209002
Amontay,1606719001
Amontay,1606814002
Amontoc,0103315002
Amor Cruz,1108202016
Amorogtong,0603021002
Amoros,1004307001
Amoroy,0504101002
Amoslog,1606717002
Amot,0405606002
Amotag,0504101003
Amoyong,1903630001
Ampakleng,0205006011
Ampalioc,1400114001
Ampandula,0102922001
Ampao,1903601001
Amparado,0501721002
Amparo,0600612002
Amparo,0603036002
Amparo,0806408002
Amparo,1630400006
Ampawid,1108202017
Ampayon,1630400007
Ampenican,1004322002
Ampianga,1004323002
Ampid I,0405811001
Ampid II,0405811011
Ampihanon,0803708004
Ampon,1208007002
Ampongol,0702247001
Ampuagan,0102926002
Ampuan,1908702001
Ampucao,1401106001
Ampusongan,1401103001
Amsic,0330100035
Amsipit,1208004001
Amti,1400102001
Amtic,0500508003
Amtuagan,1400126002
Amucao,0306916004
Amuguis,0405628002
Amungan,0307105001
Amunitan,0201514001
Amurao,0603012003
Amuyong,0402101001
Amuyong,0403414001
An-an,0806404003
An-annam,0102903002
Anaao,0102901003
Anaba,1402701002
Anabel,1404408001
Anabo,0603027004
Anabu I-A,0402109003
Anabu I-B,0402109029
Anabu I-C,0402109030
Anabu I-D,0402109031
Anabu I-E,0402109032
Anabu I-F,0402109033
Anabu I-G,0402109034
Anabu II-A,0402109004
Anabu II-B,0402109035
Anabu II-C,0402109036
Anabu II-D,0402109037
Anabu II-E,0402109038
Anabu II-F,0402109039
Anagasi,0806022001
Anagguan,0201521001
Anahao,1705909003
Anahao,0806402037
Anahao Bag-o,1606818002
Anahao Daan,1606818003
Anahaw,0501606012
Anahaw,1804511001
Anahaw,0803720001
Anahaw,1606701011
Anahaw I,0402118050
Anahaw II,0402118054
Anahawan,0405607002
Anahawan,0803707004
Anahawan,0806418001
Anahawan,1600314002
Anahaway,0803739001
Anahawon,1001315001
Anajao,0702205002
Anajawan,1606710001
Anak,0205706001
Anak Jati,0906605001
Anak-Dagat,0401012001
Anakan,1004308003
Anambongan,0105509001
Anameam,0501606001
Anando,0105532003
Ananong,0502010002
Anao,1402709001
Anao,0102818003
Anao,0203106002
Anao,0203126001
Anao,0305413002
Anao,0702225001
Anapao,0105516001
Anapog,0702216003
Anapog,0702243001
Anapog-Sibucao,1704004001
Anapolon,1204718002
Anas,0405607003
Anas,0504111001
Anas,0701247002
Anas,1903635054
Anastacia,0405648001
Anastacio,0907210001
Añato,0405630002
Anawan,0405636001
Anayan,1400125003
Anayan,0501728001
Anayo,0205002016
Anchukey,1401107002
Andabuen,0203104001
Andagaw,0600407001
Andal Alino,0304930001
Andalan,0906610001
Andalan,0906613001
Andalan,0906619001
Andales,1004310002
Andangin,0105527001
Andap,1108202018
Andap,1108210013
Andarayan,0203108004
Andarayan,0203118002
Andarayan North,0201527001
Andarayan South,0201527037
Andavit,1908808002
Andil,1003503001
Andil,1003509002
Andili,1108206001
Ando,0802604003
Andres Bonifacio,1430300117
Andres Bonifacio,0205703001
Andres Bonifacio,0405644002
Andres Bonifacio,1705206003
Andres Bonifacio,0603040002
Andres Bonifacio,1804504001
Andres Bonifacio,1804523001
Andres Bonifacio,0803724002
Andres Ilagan,1705208025
Andres Micubo Jr.,0907219004
Andulauan,1804513001
Anduyan,0103320002
Aneg,0203118003
Angad,1400101002
Angalan,1130700174
Angancasilian,0203106003
Angandog,1003502003
Angang,0201528004
Angare,0603017002
Angarian,0105515001
Angas,1704005002
Angas,0501601001
Angas,0600404002
Angas,1600310001
Angatel,0105545001
Angayan Norte,0105507001
Angayan Sur,0105507002
Angayen,1003502004
Angeles,0307109001
Angeles,0405602001
Angeles,0405603001
Angeles,0907328042
Angeles,1600304009
Angeles Zone I,0405647003
Angeles Zone II,0405647004
Angeles Zone III,0405647005
Angeles Zone IV,0405647006
Angga-an,1001302002
Anggacan,1403214001
Anggacan Sur,1403214014
Anggapang Norte,0102808001
Anggapang Sur,0102808002
Angilan,0701204001
Angilan,0701221002
Angilan,0702204001
Angilan,0906619002
Angin,0103311006
Angio,0105533002
Angkayamat,1908823001
Angkeling,1404409004
Angkileng,0102925002
Anglas,0403407001
Anglit,0806002002
Angoluan,0203112001
Angoyao,1903617146
Angset,0102807001
Angub,0601901004
Angustia,0501723001
Angustias Zone I,0405647007
Angustias Zone II,0405647008
Angustias Zone III,0405647009
Angustias Zone IV,0405647010
Angyap,0806011001
Angyap,0806012003
Anhawan,0603023005
Anhawan,1804609001
Anhawon,0601909004
Ani-e,1804505002
Ani-e,1004306001
Anib,0501734003
Aniban 1,0402103076
Aniban 2,0402103077
Anibawan,0405606003
Anibong,0403419001
Anibong,0405620005
Anibong,0506211003
Anibong,1804602003
Anibong,0803725002
Anibongan,0701221003
Anibongan,0701240002
Anibongan,0803723002
Anibongan,0806017002
Anibongan,1102303002
Anibongan,1108204001
Anibongan,1606711002
Anibongan,1606811001
Anibongan,1606812001
Anibongon,0803701002
Anick,1204711001
Anilao,0301410001
Anilao,0401014003
Anilao,1705203001
Anilao,0603036003
Anilao,0806406002
Anilao East,0401016002
Anilao Proper,0401016001
Anilao-Labac,0401014004
Anilawan,0600604001
Anilawan,0603021003
Aningalan,0600614003
Aningway Sacatihan,0307114001
Aniniaw,1804613001
Aninuan,1705211001
Aniog,0203102002
Aniog,0501731001
Anis,0105548001
Anislag,0500503003
Anislag,0701215001
Anislag,0701232004
Anislag,0702237001
Anislag,0802618001
Anislag,0803722001
Anislag,0806003005
Anislagan,0803713003
Anislagan,0807808002
Anislagan,1108204002
Anislagan,1108209001
Anislagan,1600309001
Anislagan,1606717003
Anislagon,0806413001
Anitap,1102506001
Anitap,1108202019
Anitap,1600313013
Anitapan,1108203012
Anito,0804807001
Anito,1001804002
Anjawan,0603017003
Anlogan,1001322009
Annabuculan,0201504004
Annafatan,0201504005
Annafunan,0203112002
Annafunan,0203137001
Annafunan East,0201529001
Annafunan West,0201529038
Annam,0105544004
Annanuman,0203133001
Annayatan,0201506004
Anninipan,1408103002
Ano,0105532004
Anog,0506210001
Anolid,0105524006
Anolid,0105526003
Anoling,0405617001
Anoling,1705209001
Anoling,0500502001
Anoling,0701211002
Anoling 1st,0306903001
Anoling 2nd,0306903002
Anoling 3rd,0306903003
Anolingan,1600303001
Anolon,0803720002
Anomar,1606724003
Anon,0305406001
Anonang,0105533003
